train_loss,val_loss
0.08754944521283818,0.08696969488483228
0.0766012677449291,0.09598248404359627
0.07194612066030265,0.07997289322272032
0.07225092244914855,0.08552543390653804
0.06728769550592094,0.06845875853252506
0.06714348528433892,0.06513979900145007
0.06572487065614993,0.06273760227207652
0.06405231381134165,0.06313925144260753
0.0638584964281897,0.06385154135807783
0.06377755443482908,0.06353398201291909
0.06382806694222352,0.06390805001149397
0.06371253466276323,0.06406827966967028
0.06307088552137553,0.06344563197233007
