train_loss,val_loss
0.08623121873450541,0.06609274760751191
0.08077604640070962,0.06434519353978886
0.07322199124906023,0.06165833783125925
0.07176706915422308,0.06103825128958849
0.06880129509766104,0.06170984927170767
0.06699994102432388,0.05802410271412836
0.06396158051826542,0.06259446023050659
0.06359000763264397,0.061843075891752204
0.0602339204003364,0.06265137958788349
0.05830057068418708,0.06294971287339747
0.05655437032668921,0.058659781075404316
0.05392775091445696,0.05867584046727407
