train_loss,val_loss
0.07073442441813373,0.0627393377665988
0.05992040283613999,0.058889010486131654
0.05605686310741861,0.057068642080127595
0.05348333972668719,0.05510999290588611
0.05169367194844267,0.05533859882496312
0.05071401702665379,0.05535672028026657
0.05127686731970441,0.05532462723151652
0.04949153434199208,0.05497903087196831
0.04967360637138634,0.05925366955394754
0.04936362074266521,0.05951886225543812
0.048449704013133456,0.05550719616923504
0.04752483352617633,0.05515053150004256
0.04747228839565607,0.0552490238107726
0.04697216413209469,0.056462099511704285
